,Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured
0,2358329,12-Jul-22,Massachusetts,Boston,39 Warren St,0,4
1,2358053,11-Jul-22,Mississippi,Jackson,Fairway St and Suncrest Dr,0,4
2,2356813,10-Jul-22,Texas,Alvin,1500 block of County Road 149,1,3
3,2356705,10-Jul-22,Illinois,Crest Hill,1828 Knapp Dr,1,4
4,2356327,10-Jul-22,Missouri,Kansas City,4128 Broadway Blvd,1,5
5,2355580,10-Jul-22,California,Downey,8100 block of Leeds St,3,2
6,2355438,10-Jul-22,Illinois,Chicago,448 N State St,0,4
7,2355398,10-Jul-22,New York,Brooklyn,Boardwalk and W 21st St,0,5
8,2355962,9-Jul-22,Alabama,Jacksons Gap,Manoy Dr,0,4
9,2354111,8-Jul-22,North Carolina,Greensboro,1200 block of Fairview St,0,4
10,2354825,8-Jul-22,Michigan,Detroit,3400 block of 2nd Ave,0,4
11,2353847,7-Jul-22,Illinois,Chicago,2800 block of W Polk St,0,4
12,2352780,6-Jul-22,Florida,Tampa,Courtland St N and Chelsea St E,0,4
13,2352444,6-Jul-22,Illinois,Chicago,1820 W Maypole Ave,0,4
14,2352342,5-Jul-22,Ohio,Steubenville,601 South St,0,4
15,2349853,5-Jul-22,Indiana,Gary,1900 block of Missouri St,3,7
16,2349723,5-Jul-22,New York,Rochester,485 N Clinton Ave,1,3
17,2348163,4-Jul-22,Massachusetts,Boston,Dorchester Ave and Bailey St,0,4
18,2350033,4-Jul-22,Minnesota,Minneapolis,724 Sibley St NE,0,7
19,2349746,4-Jul-22,Wisconsin,Kenosha,6321 25th Ave,1,4
20,2348230,4-Jul-22,California,Sacramento,1525 L St,1,4
21,2348384,4-Jul-22,Illinois,Highland Park,Central Ave and 2nd St,8,29
22,2348750,4-Jul-22,Missouri,Kansas City,E 13th St and Grand Blvd,0,4
23,2349545,4-Jul-22,Colorado,Denver,2100 block of W Pacific Pl,1,3
24,2349758,4-Jul-22,New York,Corona (Queens),171st St and 137th Ave,0,4
25,2348204,4-Jul-22,Illinois,Chicago,6500 block of S Martin Luther King Dr,0,5
26,2348167,4-Jul-22,Virginia,Richmond,10 block of W Broad St,0,6
27,2348191,3-Jul-22,Virginia,Manassas,8129 Sudley Rd,0,4
28,2347373,3-Jul-22,South Carolina,Mullins,Leroy Bethea St and Jennings Rd,0,4
29,2348263,3-Jul-22,Washington,Tacoma,3300 block of S Asotin St,0,4
30,2348303,3-Jul-22,Arizona,Surprise,W Carlin Dr,3,4
31,2347297,2-Jul-22,North Carolina,Clinton,506 Stetson St,0,6
32,2347060,2-Jul-22,Texas,Haltom City,5700 block of Diamond Oaks Dr N,3,4
33,2347228,2-Jul-22,New York,Corona (Queens),129-09 89th Ave,1,3
34,2346422,1-Jul-22,Illinois,Chicago,3800 block of W Monroe St,0,4
35,2346406,1-Jul-22,Mississippi,Greenwood,Johnson St and Main St,1,7
36,2345410,1-Jul-22,Illinois,Chicago,408 S Wells St,2,3
37,2345144,30-Jun-22,Kentucky,Allen,49 N Railroad St,3,5
38,2344954,30-Jun-22,New Jersey,Newark,291 Clinton Pl,0,9
39,2344008,29-Jun-22,New Jersey,Jersey City,166 Bayview Ave,0,4
40,2344201,29-Jun-22,Pennsylvania,Philadelphia,1100 block of E Price St,0,4
41,2341725,27-Jun-22,North Carolina,Charlotte,2000 block of Holly St,0,5
42,2340458,26-Jun-22,Georgia,Blakely,N Church St and Washington Ave,1,6
43,2340720,26-Jun-22,Virginia,Sutherlin,1220 Kerns Church Rd,1,7
44,2340685,26-Jun-22,New Jersey,Paterson,Madison St and Essex St,0,5
45,2340473,26-Jun-22,Texas,San Antonio,3805 Blanco Rd,1,3
46,2340696,26-Jun-22,Texas,Winona,18005 FM 2767,0,5
47,2340409,26-Jun-22,Washington,Tacoma,5415 S Tacoma Way,0,8
48,2340297,25-Jun-22,New York,Brooklyn,690 Quincy St,0,4
49,2339761,25-Jun-22,Texas,Houston,4207 Madden St,2,2
50,2340347,25-Jun-22,Minnesota,Minneapolis,SE Main St and 6th Ave SE,0,4
51,2339866,24-Jun-22,Virginia,Hopewell,Elm St and Arlington Rd,2,2
52,2338874,24-Jun-22,Pennsylvania,Philadelphia,S Bucknell St and Oakford St,2,2
53,2338902,23-Jun-22,Illinois,Chicago,7900 block of S Lafayette Ave,1,3
54,2335052,20-Jun-22,New York,New York (Manhattan),5th Ave and W 139th St,1,8
55,2335872,20-Jun-22,New York,Staten Island,Taft Ave and Westervelt Ave,0,5
